交易所,代码,公司,行业,PE,股息率,净利润率,毛利率,PB,ROE_TTM_2020,ROE_TTM_2019,ROE_TTM_2018,ROE_TTM_2017,ROE_TTM_2016,ROE_TTM_2015,净利润2020,净利润2019,净利润2018,净利润2017,净利润2016,每股收益2020TTM,每股收益2020,关注度
sh,="688363",华熙生物,生物科技,111.9467,0.0027,0.3085,0.7956,14.6553,0.1808,,,,,,,,,,,1.2217,1.22,239
sz,="300641",正丹股份,化学原料,111.7826,0.0038,0.0308,0.1101,1.9826,0.0298,0.0391,0.092,,,,39494489,51642422,87844816,,,0.0807,0.0826,27
sz,="300659",中孚信息,互联网软件与服务,111.471,0.0022,0.1925,0.706,9.5412,0.2205,0.091,0.1559,,,,109020975,38376494,41500977,,,0.8211,0.9403,133
sh,="600283",钱江水利,水公用事业,111.352,0,0.0656,0.3767,2.4267,0.0336,0.032,0.0633,0.1595,-0.018,-0.0137,40735657,43091738,96774256,60914325.4,41607163.21,0.1154,0.1223,74
sh,="600834",申通地铁,陆运,111.0706,0.0036,0.1068,0.1182,3.8035,0.0378,0.032,0.0328,0.0401,0.0526,0.0779,50759436,48016827,48312475,57874940.09,73739818.63,0.1063,0.1428,72
sz,="300553",集智股份,电子设备及服务,110.9462,0,0.0887,0.4701,5.5697,0.0407,0.0385,0.0562,,,,16868714,16874316,19494842,,,0.3514,0.4345,29
sz,="300782",卓胜微,半导体,110.7089,0.0015,0.3392,0.5248,38.237,0.5113,0.4203,,,,,,179957659,,,,6.072,4.9717,563
sh,="601028",玉龙股份,黑色金属,110.5765,0,0.0111,0.0192,4.4672,0.0153,-0.0045,0.0426,-0.2901,0.042,0.0563,49353875,10237102,82506095,-666681130.03,113132763.12,0.063,0.0261,26
sh,="600532",宏达矿业,黑色金属,110.3939,0,0.0076,0.0233,2.6881,0.0246,0.0125,-0.0456,0.0734,-0.2589,0.1417,45532244,22759004,-84543061,134377915.4,-384578949.7,0.0882,0.0704,45
sz,="002906",华阳集团,汽车零配件与设备,110.1998,0.0051,0.0272,0.2286,2.7018,0.0243,0.0061,0.0744,,,,83629804,19390057,217202531,,,0.1768,0.1575,55
sh,="900946",ST天雁B,,109.918,0,0.0237,0.2013,1.5791,0.0174,-0.1569,-0.1448,0.0154,-0.0698,0.0094,,-12116078.632,-13773951.5528,1430739.7899,-7316594.2923,0.0015,0.0016,1
